State	County	Upcoming elections	Recommended Candidate	Candidate (I)	Candidate (I): Image link	Candidate (I): Website	Candidate (C)	Candidate (C): Image link	Candidate (C): Website	Candidate (C2)	Candidate (C2): Image link	Candidate (C2): Website	Candidate (C3)	Candidate (C3): Image link	Candidate (C3): Website	Candidate (C4)	Candidate (C4): Image link	Candidate (C4): Website	Candidate (C5)	Candidate (C5): Image link	Candidate (C5): Website	Candidate (C6)	Candidate (C6): Image link	Candidate (C6): Website	Candidate (C7)	Candidate (C7): Image link	Candidate (C7): Website	Candidate (C8)	Candidate (C8): Image link	Candidate (C8): Website	Candidate (C9)	Candidate (C9): Image link	Candidate (C9): Website	Candidate (C10)	Candidate (C10): Image link	Candidate (C10): Website
Arizona	Apache	County Attorney		Michael Whiting	https://www.co.apache.az.us/wp-content/uploads/2015/07/MBW-copy.jpg	https://www.facebook.com/whitingattorney/?hc_ref=ARSQrZXmMM9KLXlZe5UKZaR6AV1WJuiZq5MgWjPbyomMJDjlNVkv132mMaPVJy_vHgA&fref=nf&__xts__[0]=68.ARCh4NdASwLdri8mEQrQtkBn1de6qEvHelmw_AQJchKAabfexBqxQXTKRfokWb_ckKIVsdUjgyKZzA7Ms6YlWwVZwif6ui7CQ-Kze1HS8wt7oX8jgdx1WJQSpE7FZ18CaLGo8-ihC5-E1Wbq3eVJ0O9ikFxOLZNUxXAmeC_d1_hSChcCTGH08uyI290FpxAgVkvmDs-TryTQuaRqb96U4jgjCUP_JEdolf41Lvi02z9nExVJ75hSzolID9o3Ku4C4xyac8z-iJJ4nqzUUbZ-WZK0t-AtWtVRFZii3EUddSZkXs7Seb7FvCIRmqzXR75pYMOttzi6cc4QgCixBNCCLdPjCIE2&__tn__=kC-R																														
Arizona	Apache	Sheriff		Joseph Dedman	https://www.co.apache.az.us/wp-content/uploads/2015/07/Sheriff.jpg	https://www.co.apache.az.us/sheriff/about-sheriff-joseph-dedman-jr/#:~:text=Sheriff%20Dedman%20began%20his%20career,get%20certified%20in%20Tucson%2C%20Arizona.	Cope Reynolds	https://static.wixstatic.com/media/843e48_b176baeb33124e9aa14786684794efb8~mv2_d_1545_1884_s_2.jpg/v1/fill/w_594,h_764,al_c,q_85,usm_0.66_1.00_0.01/HB%205.webp	https://www.cope4sheriff.com/																											
Arizona	Cochise	County Attorney		Brian McIntyre	https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-9/11141351_1439617963007724_3149944662821486551_n.jpg?_nc_cat=102&_nc_sid=85a577&_nc_ohc=U1TJN7CfG9QAX8FEZSq&_nc_ht=scontent-sjc3-1.xx&oh=af6d2951c74f3963236d84e4a942c1db&oe=5EFC2F69	https://www.facebook.com/brianmcintyreforcochisecountyattorney/																														
Arizona	Cochise	Sheriff		Mark Dannels	https://www.cochise.az.gov/sites/default/files/sheriff/Sheriff%20Dannels.jpg	https://www.cochise.az.gov/sheriff/meet-your-sheriff																														
Arizona	Coconino	County Attorney		William Ring	https://www.coconino.az.gov/images/InfoAdvanced/19/Bill%20Web%20Photo_thumb_thumb_thumb.jpg	https://www.coconino.az.gov/162/County-Attorney																														
Arizona	Coconino	Sheriff		James Driscoll	https://www.coconino.az.gov/ImageRepository/Document?documentID=14725	https://www.coconino.az.gov/325/Sheriffs-Office																														
Arizona	Gila	County Attorney		Bradley Beauchamp																																
Arizona	Gila	Sheriff		Adam Shepherd	https://www.gilacountyaz.gov/government/sheriff/images/Shepherd.jpg	https://www.gilacountyaz.gov/government/sheriff/index.php	Ronald Hanse		https://hanse4sheriff.com/about/	Richard Shaw			Darrell Stubbs			Christopher Bender																				
Arizona	Graham	County Attorney					L. Scott Bennett																													
Arizona	Graham	Sheriff		Preston Allred	https://www.graham.az.gov/ImageRepository/Document?documentID=179	https://www.graham.az.gov/224/Sheriff	Gregory Brown		https://www.facebook.com/MrBig688																											
Arizona	Greenlee	County Attorney		No Official Candidate																																
Arizona	Greenlee	Sheriff		Tim Sumner	https://www.co.greenlee.az.us/images/Capitol%20photo2.jpg	https://www.co.greenlee.az.us/elected-officials/sheriff/	Larry Avila	https://bloximages.chicago2.vip.townnews.com/eacourier.com/content/tncms/assets/v3/editorial/1/0f/10f66b3c-2309-11e2-9fb6-0019bb2963f4/509097db4819b.image.jpg?resize=294%2C281																												
Arizona	La Paz	County Attorney		Tony Rogers	http://www.co.la-paz.az.us/ImageRepository/Document?documentID=190	http://www.co.la-paz.az.us/154/County-Attorney	Karen Hobbs	https://scontent.fykz1-2.fna.fbcdn.net/v/t1.0-9/37748824_1979563262353774_8728490163954515968_n.jpg?_nc_cat=110&_nc_sid=85a577&_nc_ohc=Ey-u6wKD-oAAX_mXkdF&_nc_ht=scontent.fykz1-2.fna&oh=f6bb002c83f8c4d4f96039e5021ecfd5&oe=5F012F6A																												
Arizona	La Paz	Sheriff		Bill Risen	https://www.lapazsheriff.org/wp-content/uploads/2018/08/sheriff_bill_risen.jpg	https://www.lapazsheriff.org/meet-the-sherrif/	William Ponce	https://scontent.fykz1-2.fna.fbcdn.net/v/t1.0-9/s960x960/96359600_132524928405390_26101379546218496_o.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=ipXXcrd9OP0AX-guP56&_nc_ht=scontent.fykz1-2.fna&_nc_tp=7&oh=ae97310753f628939e6f82efeaf400fe&oe=5EFE44A5	https://www.facebook.com/PONCEFORSHERIFF/	Felipe Rodriguez	https://scontent.fykz1-2.fna.fbcdn.net/v/t1.0-9/98330058_128419998833815_2019347834209304576_n.jpg?_nc_cat=107&_nc_sid=85a577&_nc_ohc=Q4UU4vfFh-sAX_tbx1G&_nc_ht=scontent.fykz1-2.fna&oh=7f9287d312d790306c0f12ab78d98c8c&oe=5F008D1B	https://www.facebook.com/permalink.php?story_fbid=113951170280698&id=112700127072469&comment_id=113953330280482	Mike Roth	https://rothforsheriff.files.wordpress.com/2020/04/f15ba-rothdrivingaboutcover1-1.jpg	https://rothforsheriff.com/	Frank Vidrine	https://bloximages.chicago2.vip.townnews.com/parkerpioneer.net/content/tncms/assets/v3/editorial/1/8a/18ac6a20-5802-11e6-8092-cba52cd1138d/579f74302731a.image.jpg?resize=1200%2C900																			
Arizona	Maricopa	County Attorney		Allister Adel	https://media-exp1.licdn.com/dms/image/C5603AQFxnS39DaP2wQ/profile-displayphoto-shrink_800_800/0?e=1597276800&v=beta&t=_4HU3ZdExR-6l4wf4vbJ0CyGzjOTGm902iKXI1Cc1L4	https://www.allisteradel.com/	Julie Gunnigle	https://gunnigle2020.com/wp-content/uploads/2019/08/about-1024x683.jpg	https://gunnigle2020.com/	Will Knight	https://secureservercdn.net/198.71.233.44/x1q.f24.myftpupload.com/wp-content/uploads/2019/11/IMG_8807-cropped.jpg	https://knight2020.com/	Bob McWhirter	https://robertjmcwhirter.com/wp-content/uploads/2017/07/robertjmcwhirter.png	https://www.mcwhirter4mca.com/																					
Arizona	Maricopa	Sheriff		Paul Penzone	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Paul_Penzone_by_Gage_Skidmore_2.jpg/1200px-Paul_Penzone_by_Gage_Skidmore_2.jpg	https://penzoneforsheriff.com/	Joe Arpaio	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Joe_Arpaio_%2827482869280%29.jpg/1200px-Joe_Arpaio_%2827482869280%29.jpg		Mike Crawford	https://static.wixstatic.com/media/1ee099_22b0a66312734b868d9bd70ff035437a~mv2.png/v1/fill/w_497,h_577,al_c,q_85/DSC_0059%20-%20Edited%20PNG.webp	https://www.crawfordforsheriff.com/	Jerry Sheridan	https://secureservercdn.net/198.71.233.109/egp.54a.myftpupload.com/wp-content/uploads/2019/10/SS.jpg	https://sheridan4sheriff2020.com/																					
Arizona	Mohave	County Attorney		Matt Smith	https://resources.mohavecounty.us/image/Attorney/mike_smith.png	https://www.mohavecounty.us/ContentPage.aspx?id=112																														
Arizona	Mohave	Sheriff		Doug Schuster	https://westernnews.media.clients.ellingtoncms.com/img/photos/2017/01/10/N_Sheriff_Schuster_2_RGB_t670.jpg?b3f6a5d7692ccc373d56e40cf708e3fa67d9af9d	https://www.facebook.com/MohaveCountySheriffsOffice/	Mike Gannuscio	https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-0/s261x260/101223996_4111265225565401_7995436166759317504_o.jpg?_nc_cat=109&_nc_sid=ca434c&_nc_ohc=fp9pOI2UGDwAX-7qOQC&_nc_ht=scontent-sjc3-1.xx&_nc_tp=7&oh=e1ace7e58cafe2db616acc807fdaa7de&oe=5F035B2D	https://www.facebook.com/groups/652910781905402/																											
Arizona	Navajo	County Attorney		Brad Carlyon	https://www.navajocountyaz.gov/portals/0/Departments/County%20Attorney/Images/attorney.jpg	https://www.navajocountyaz.gov/Departments/County-Attorney																														
Arizona	Navajo	Sheriff		David Clouse	https://sheriffclouse.com/wp-content/uploads/2019/01/david-clouse-cropped-2.png	https://sheriffclouse.com/	Matthew Duran																													
Arizona	Pima	County Attorney		open seat			Laura Conover	https://lauraconover.com/wp-content/uploads/2019/11/IMG_0417-1024x683.jpg	https://lauraconover.com/	Mark Thomas Diebolt	https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-9/82056669_111080733755420_8169452564962607104_o.jpg?_nc_cat=105&_nc_sid=85a577&_nc_ohc=9dJlJsiZlAQAX_DpNlJ&_nc_ht=scontent-sjc3-1.xx&oh=f25e1ff9bc52dc868bfe9b3e6472bf38&oe=5F05D2BB	https://www.markforcountyattorney.com/	Jonathan Mosher	https://images.squarespace-cdn.com/content/v1/5e66fc83e39c7d4b7cfacae7/1583808780119-Y9IPFBL8BIWA1Z4JPTMY/ke17ZwdGBToddI8pDm48kNsibk6JQt9HFEzsFz1mt_17gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UUcESBNR7SCam6hzmcpo4TAo4JlkwvCDpBHTyEBwLaZFD8iN_TR6rJlKCdD_scFx3Q/homicide+surviviors+vigil+kathleen+dreier+photography.jpg?format=2500w	https://mosher2020.com/																					
Arizona	Pima	Sheriff		Mark Napier	https://www.pimasheriff.org/application/files/6815/2529/4280/2018_sheriffNapierWeb.jpg	https://www.facebook.com/sheriffnapier/	Kevin Edward Kubitskey	https://img1.wsimg.com/isteam/ip/9ebda83f-22bd-4dc7-931b-3ca934c17925/IMG_7290.JPG/:/rs=w:800,cg:true,m	https://kubitskey4sheriff.com/	Chris Nanos	https://bloximages.chicago2.vip.townnews.com/tucson.com/content/tncms/assets/v3/editorial/f/82/f82a9006-6aef-5a8b-a005-20fc0fedaf6a/57439a5c95a99.image.jpg	https://www.nanosforsheriff.com/																								
Arizona	Pinal	County Attorney		Kent Volkmer	https://pinalcountyattorney.org/wp-content/uploads/2018/12/EDB7793-Web-WEB-818x1030.jpg	http://www.kentvolkmer.com/																														
Arizona	Pinal	Sheriff		Mark Lamb	http://pinalcountyaz.gov/Sheriff/PublishingImages/AboutSheriff/SheriffLamb.jpg	https://www.sherifflamb.com/	Tim Gustafson		https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-9/89149867_187357632702254_3857357669530599424_n.jpg?_nc_cat=108&_nc_sid=85a577&_nc_ohc=sjqhxsP0pCUAX_7sku7&_nc_ht=scontent-sjc3-1.xx&oh=449a5ff5fe7cfc9ce56200528e4dfd38&oe=5F0749E0	http://www.gustafsonforsheriff.com/																										
Arizona	Santa Cruz	County Attorney		George Silva	https://www.santacruzcountyaz.gov/images/CityDirectory/9/george.gif	https://www.santacruzcountyaz.gov/155/County-Attorney			 																											
Arizona	Santa Cruz	Sheriff		open seat			Keith Barth	https://d3n8a8pro7vhmx.cloudfront.net/barthforsheriff/pages/28/attachments/original/1586364176/homepage.png?1586364176	https://www.keithbarthforsheriff.com/	Rafael Corrales	https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-9/p960x960/69162112_2428695920788877_3959977559357128704_o.jpg?_nc_cat=104&_nc_sid=85a577&_nc_ohc=qmxpfIs6ifcAX_jq-1H&_nc_ht=scontent-sjc3-1.xx&_nc_tp=6&oh=8d31009cfdfce0dcb52923b934f51e80&oe=5F056239	https://www.facebook.com/rafaelcorralesforsheriff/	James David Hathaway	https://scontent-sjc3-1.xx.fbcdn.net/v/t31.0-8/p720x720/12633686_881618471937078_1836751488889133564_o.jpg?_nc_cat=109&_nc_sid=85a577&_nc_ohc=amp-xAggOKMAX9XntCu&_nc_ht=scontent-sjc3-1.xx&_nc_tp=6&oh=ed95660252aae5a093167c409a587d1e&oe=5F03896A	https://www.hathawayforsheriff.com/	David Ruiz			Jose A. Agostini			Andrew Ibarra														
Arizona	Yavapai	County Attorney		Sheila Polk	https://www.yavapai.us/portals/29/PolkSheila.png?ver=2016-05-13-083444-007	https://www.yavapai.us/coatty	David Stringer	https://votestringer.com/wp-content/uploads/2018/07/STRINGER.gif	https://votestringer.com/																											
Arizona	Yavapai	Sheriff		open seat			David Rhodes	http://www.ycsoaz.gov/Portals/0/EasyDNNNews/300/150150p473EDNthumbRhodes1.jpg																												
Arizona	Yuma	County Attorney		Jon Smith	https://www.yumacountyaz.gov/Home/ShowPublishedImage/5978/636173305778230000	https://www.yumacountyaz.gov/government/county-attorney																														
Arizona	Yuma	Sheriff		Leon Wilmot	https://www.yumacountysheriff.org/picts/command_staff/wilmot-07062016.jpg	https://www.yumacountysheriff.org/about-wilmot.html	Mark Martinez	https://yumacountysheriff.org/picts/command_staff/martinez.jpg	https://www.facebook.com/MarkMartinezforSheriff/																											
Colorado	Jefferson, Gilpin	District Attorney		open seat			Matthew Durkin	https://images.squarespace-cdn.com/content/v1/5e7803b39cf21d77fdf8467a/1585017530817-8MPAWSU8XDU5SLY6ZNCN/ke17ZwdGBToddI8pDm48kG87Sfbgg29A4BYEDq3OXvgUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcwzM2vY4zcR8T4Jyx-ijnH3AX3fNmlFWTtLveLoXLwwuUl76mRIIOTkltMT5VW2q5/Headshot-nb-whitegd.png	https://www.durkinforda.com/	Alexis King	https://lirp-cdn.multiscreensite.com/a633260e/dms3rep/multi/opt/kmulhern_photography_alexis_king_headshots_OCT_2018_016-1920w.jpg	https://www.alexisforda.com/about	Jake Lilly	http://jakelilly.com/wp-content/uploads/2019/06/gallery15.jpg	http://jakelilly.com/																					
Colorado	Denver	District Attorney		Beth McCann	https://www.denverda.org/wp-content/uploads/2017/09/Beth-McCann-DA-1.jpg	https://www.denverda.org/meet-the-da/																														
Colorado	Huerfano, Las Animas	District Attorney		Henry Solano	https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/10711421_1460919814.2347.jpg																															
