State,Deadline,Link to Register
Alabama,10/19/2020,https://www.sos.alabama.gov/alabama-votes/voter/register-to-vote
Alaska,10/4/2020,https://voterregistration.alaska.gov/
Arizona,10/5/2020,https://azsos.gov/elections/voting-election/register-vote-or-update-your-current-voter-information
Arkansas,10/6/2020,https://www.sos.arkansas.gov/elections/voter-information
California,10/19/2020,https://www.sos.ca.gov/elections/voter-registration/
Colorado,10/26/2020,https://www.sos.state.co.us/voter/pages/pub/home.xhtml
Conneticut,10/27/2020,https://voterregistration.ct.gov/OLVR/welcome.do
Delaware,10/3/2020,https://ivote.de.gov/default.aspx
Florida,10/5/2020,https://dos.myflorida.com/elections/for-voters/voter-registration/register-to-vote-or-update-your-information/
Georgia,10/5/2020,https://registertovote.sos.ga.gov/GAOLVR/welcome.do#no-back-button
Hawaii,10/5/2020,https://elections.hawaii.gov/voters/registration/
Idaho,10/9/2020,https://apps.idahovotes.gov/OnlineVoterRegistration/
Illinois,10/18/2020,https://ova.elections.il.gov/Step0.aspx
Indiana,10/5/2020,https://indianavoters.in.gov/
Iowa,10/24/2020,https://mymvd.iowadot.gov/Account/Login?ReturnUrl=%2fVoterRegistration
Kansas,10/13/2020,https://www.rockthevote.org/register-to-vote/?source=rtv.org-deadlines
Kentucky,10/5/2020,https://www.kdor.ks.gov/apps/voterreg/default.aspx
Louisiana,10/14/2020,https://mymvd.iowadot.gov/Account/Login?ReturnUrl=%2fVoterRegistration
Maine,10/19/2020,https://www.rockthevote.org/register-to-vote/?source=rtv.org-deadlines
Maryland,10/13/2020,https://vrsws.sos.ky.gov/ovrweb/govoteky
Massachusetts,10/14/2020,https://www.sos.la.gov/ElectionsAndVoting/RegisterToVote/Pages/default.aspx
Michigan,10/4/2020,https://www.maine.gov/sos/cec/elec/voter-info/voterguide.html
Minnesota,10/13/2020,https://www.sos.state.mn.us/elections-voting/register-to-vote/
Mississippi,10/5/2020,https://www.sos.ms.gov/Elections-Voting/Pages/Voter-Registration-Information.aspx
Missouri,10/7/2020,https://www.sos.mo.gov/elections/goVoteMissouri/register
Montana,10/05/2020,https://www.sosmt.gov/elections/vote/
Nebraska,10/16/2020,https://www.nebraska.gov/apps-sos-voter-registration/
Nevada,10/6/2020,https://www.nvsos.gov/SOSVoterServices/Registration/Step0.aspx
New Hampshire,10/27/2020,http://sos.nh.gov/HowRegVote.aspx
New Jersey,10/13/2020,https://www.state.nj.us/state/elections/voter-registration.shtml
New Mexico,10/6/2020,http://www.sos.state.nm.us/Voter_Information/Voter_Registration_Information.aspx
New York,10/9/2020,https://www.elections.ny.gov/VotingRegister.html
North Carolina,10/9/2020,https://www.ncsbe.gov/Voters/Registering-to-Vote
North Dakota,Just bring your ID to vote!,https://vip.sos.nd.gov/wheretovote.aspx
Ohio,10/5/2020,https://olvr.sos.state.oh.us/
Okahoma,10/9/2020,https://www.ok.gov/elections/Voter_Info/Register_to_Vote/index.html
Oregon,10/13/2020,https://sos.oregon.gov/voting/Pages/registration.aspx?lang=en
Pennsylvania,10/19/2020,https://www.pavoterservices.pa.gov/pages/VoterRegistrationApplication.aspx
Rhode Island,10/4/2020,https://vote.sos.ri.gov/
South Carolina,10/5/2020,https://www.scvotes.org/south-carolina-voter-registration-information
South Dakota,10/19/2020,https://sdsos.gov/elections-voting/voting/register-to-vote/default.aspx
Tennesse,10/5/2020,https://sos.tn.gov/products/elections/register-vote
Texas,10/5/2020,https://www.votetexas.gov/register-to-vote/
Utah,10/27/2020,https://secure.utah.gov/voterreg/index.html
Vermont,10/5/2020,https://www.sec.state.vt.us/elections/voters/registration.aspx
Virginia,10/13/2020,https://www.elections.virginia.gov/registration/
Washington,10/26/2020,https://www.sos.wa.gov/elections/register.aspx
Washington D.C.,10/13/2020,https://www.dcboe.org/FAQS/Voter-Registration/When-is-the-deadline-for-registration
West Virginia,10/13/2020,https://ovr.sos.wv.gov/Register/Landing
Wisconsin,10/14/2020,https://elections.wi.gov/voters
Wyoming,10/19/2020,https://soswy.state.wy.us/elections/registeringtovote.aspx
